book_theater_id,show_date,audience_count
book_00001,2023-01-13,50
book_00001,2023-01-14,64
book_00001,2023-01-15,58
book_00001,2023-01-16,44
book_00001,2023-01-18,12
book_00001,2023-01-19,18
book_00001,2023-01-20,62
book_00001,2023-01-21,42
book_00001,2023-01-22,36
book_00001,2023-01-23,52
book_00001,2023-01-25,42
book_00001,2023-01-26,22
book_00001,2023-01-27,48
book_00001,2023-01-28,42
book_00001,2023-01-29,52
book_00001,2023-01-30,12
book_00001,2023-02-03,36
book_00001,2023-02-04,24
book_00001,2023-02-05,90
book_00001,2023-02-06,30
book_00001,2023-02-08,38
book_00001,2023-02-09,30
book_00001,2023-02-10,64
book_00001,2023-02-11,6
book_00001,2023-02-12,52
book_00001,2023-02-13,16
book_00001,2023-02-15,28
book_00001,2023-02-16,30
book_00001,2023-02-17,34
book_00001,2023-02-18,44
book_00001,2023-02-19,86
book_00001,2023-02-20,40
book_00001,2023-02-22,14
book_00001,2023-02-23,32
book_00001,2023-02-24,42
book_00001,2023-02-25,42
book_00001,2023-02-26,64
book_00001,2023-02-27,46
book_00001,2023-02-28,44
book_00001,2023-03-01,38
book_00001,2023-03-02,42
book_00001,2023-03-03,40
book_00001,2023-03-04,74
book_00001,2023-03-05,26
book_00001,2023-03-07,22
book_00001,2023-03-08,16
book_00001,2023-03-09,46
book_00001,2023-03-10,62
book_00001,2023-03-11,74
book_00001,2023-03-12,50
book_00001,2023-03-14,20
book_00001,2023-03-15,40
book_00001,2023-03-16,50
book_00001,2023-03-17,54
book_00001,2023-03-18,78
book_00001,2023-03-19,64
book_00001,2023-03-22,34
book_00001,2023-03-23,58
book_00001,2023-03-24,50
book_00001,2023-03-25,60
book_00001,2023-03-26,82
book_00001,2023-03-27,2
book_00001,2023-03-28,14
book_00001,2023-03-29,38
book_00001,2023-03-30,50
book_00001,2023-03-31,88
book_00001,2023-04-01,72
book_00001,2023-04-02,32
book_00001,2023-04-04,40
book_00001,2023-04-05,44
book_00001,2023-04-06,26
book_00001,2023-04-07,24
book_00001,2023-04-08,98
book_00001,2023-04-09,38
book_00001,2023-04-11,20
book_00001,2023-04-12,44
book_00001,2023-04-13,60
book_00001,2023-04-14,48
book_00001,2023-04-15,102
book_00001,2023-04-16,70
book_00001,2023-04-18,42
book_00001,2023-04-19,46
book_00001,2023-04-20,66
book_00001,2023-04-21,22
book_00001,2023-04-22,80
book_00001,2023-04-23,56
book_00001,2023-04-25,58
book_00001,2023-04-26,38
book_00001,2023-04-27,18
book_00001,2023-04-28,52
book_00001,2023-04-30,24
book_00001,2023-05-02,68
book_00001,2023-05-06,34
book_00001,2023-05-07,92
book_00001,2023-05-09,24
book_00001,2023-05-10,28
book_00001,2023-05-11,48
book_00001,2023-05-12,60
book_00001,2023-05-13,90
book_00001,2023-05-14,96
book_00001,2023-05-16,22
book_00001,2023-05-17,40
book_00001,2023-05-18,74
book_00001,2023-05-19,46
book_00001,2023-05-20,108
book_00001,2023-05-21,86
book_00001,2023-05-23,22
book_00001,2023-05-24,56
book_00001,2023-05-25,66
book_00001,2023-05-26,52
book_00001,2023-05-27,60
book_00001,2023-05-28,54
book_00001,2023-05-30,34
book_00001,2023-05-31,50
book_00001,2023-06-01,54
book_00001,2023-06-02,54
book_00001,2023-06-03,100
book_00001,2023-06-04,66
book_00001,2023-06-06,20
book_00001,2023-06-07,40
book_00001,2023-06-08,70
book_00001,2023-06-09,54
book_00001,2023-06-10,86
book_00001,2023-06-11,106
book_00001,2023-06-13,32
book_00001,2023-06-14,50
book_00001,2023-06-15,64
book_00001,2023-06-16,48
book_00001,2023-06-17,92
book_00001,2023-06-18,68
book_00001,2023-06-20,22
book_00001,2023-06-21,44
book_00001,2023-06-22,28
book_00001,2023-06-23,90
book_00001,2023-06-24,78
book_00001,2023-06-25,88
book_00001,2023-06-27,64
book_00001,2023-06-28,52
book_00001,2023-06-29,66
book_00001,2023-06-30,66
